Object_ID, Length, Assignment
12566-3,86,NA
12591-3,183,NA
12599-3,60,NA
12600-3,137,NA
12634-3,77,NA
12666-3,161,NA
12715-3,158,NA
12738-3,173,NA
12759-3,136,NA
12761-3,136,NA
12808-3,110,NA
12867-3,148,NA
12916-3,114,NA
12983-3,82,NA
12999-3,115,NA
13007-3,169,NA
13062-3,62,NA
13146-3,123,NA
13158-3,139,NA
13179-3,111,NA
13274-3,148,NA
13348-3,103,NA
13364-3,144,NA
13415-3,162,NA
13478-3,69,NA
13576-3,149,NA
13589-3,151,NA
13598-3,153,NA
13622-3,73,NA
13645-3,155,NA
13646-3,178,NA
13672-3,181,NA
13788-3,73,NA
13802-3,151,NA
13916-3,139,46234
13948-3,71,NA
14008-3,93,NA
14120-3,141,NA
14139-3,153,NA
14161-3,151,NA
14252-3,100,NA
14253-3,112,NA
14263-3,174,NA
14264-3,87,NA
14277-3,152,NA
14291-3,176,NA
14340-3,97,NA
14394-3,174,NA
14444-3,145,NA
14492-3,77,NA
14493-3,147,NA
14515-3,137,NA
14549-3,73,NA
14551-3,107,NA
14560-3,141,NA
14595-3,147,NA
14648-3,151,NA
14711-3,135,NA
14737-3,152,NA
14738-3,101,NA
14749-3,96,NA
14799-3,152,NA
14830-3,131,NA
14831-3,141,NA
14909-3,141,NA
14975-3,153,NA
14994-3,147,114
15033-3,153,NA
15048-3,149,NA
15079-3,146,NA
15129-3,132,NA
15181-3,81,NA
15201-3,141,NA
15206-3,84,NA
15208-3,137,NA
15209-3,148,NA
15277-3,143,NA
15314-3,149,NA
15316-3,162,NA
15318-3,145,NA
15431-3,63,NA
15456-3,60,NA
15507-3,150,NA
15545-3,63,NA
15569-3,72,NA
15579-3,136,NA
15585-3,177,NA
15619-2,163,NA
15624-2,170,NA
15650-2,93,NA
15659-2,162,NA
15756-2,177,NA
15793-2,89,NA
15794-2,176,NA
15811-2,184,NA
15852-2,151,NA
15861-2,176,NA
15864-2,111,NA
15867-2,67,NA
15913-2,179,NA
15940-2,130,NA
15969-2,95,NA
15987-2,107,NA
16048-2,143,NA
16061-2,145,NA
16065-2,81,NA
16073-2,161,NA
16075-2,165,NA
16108-2,148,NA
16109-2,153,NA
16152-2,152,NA
16231-2,69,NA
16288-2,102,NA
16304-2,136,NA
16307-2,169,1305
16353-2,161,NA
16356-2,81,NA
16372-2,90,NA
16375-2,187,NA
16395-2,108,NA
16404-2,140,NA
16415-2,156,NA
16423-2,152,NA
16473-2,85,NA
16477-2,84,NA
16505-2,145,NA
16513-2,151,NA
16564-2,95,NA
16583-2,137,NA
16594-2,149,NA
16611-2,159,NA
16632-2,134,NA
16670-2,144,NA
16690-2,64,NA
16691-2,179,NA
16704-2,182,NA
16727-2,98,NA
16763-2,179,NA
16767-2,147,NA
16770-2,141,NA
16777-2,149,NA
16791-2,151,NA
16801-2,70,NA
16832-2,130,NA
16835-2,142,NA
16842-2,121,NA
16865-2,147,NA
16881-2,147,42374
16892-2,155,NA
16893-2,182,NA
16916-2,60,NA
16929-2,151,NA
16933-2,74,NA
16960-2,125,NA
16996-2,149,NA
17009-2,185,NA
17057-2,156,NA
17094-2,95,NA
17098-2,152,28068
17101-2,153,NA
17127-2,146,NA
17131-2,115,NA
17187-2,177,114
17219-2,165,NA
17232-2,102,NA
17266-2,154,NA
17272-2,120,NA
17298-2,60,NA
17301-2,109,NA
17352-2,184,NA
17391-2,185,NA
17394-2,135,NA
17437-2,151,NA
17453-2,134,NA
17475-2,143,NA
17515-2,171,NA
17549-2,139,NA
17550-2,155,NA
17551-2,65,NA
17565-2,151,NA
17580-2,65,NA
17593-2,145,NA
17602-2,155,NA
17606-2,172,NA
17633-2,178,NA
17659-2,141,NA
17664-2,111,NA
17678-2,143,NA
17701-2,179,NA
17706-2,67,NA
17844-2,162,NA
17861-2,148,NA
17887-2,102,NA
17889-2,133,NA
17908-2,106,NA
17932-2,177,NA
17960-2,150,NA
18043-2,155,NA
18044-2,84,NA
18067-2,180,NA
18076-2,147,NA
18093-2,131,NA
18148-2,163,NA
18164-2,145,NA
18205-2,164,562
18249-2,137,NA
18264-2,63,NA
18315-2,137,NA
18336-2,143,NA
18339-2,174,NA
18356-2,136,NA
18375-2,176,NA
18400-2,161,NA
18424-2,111,NA
18436-2,112,28095
18513-2,154,NA
18565-2,125,NA
18582-2,102,NA
18588-2,116,NA
18623-2,169,NA
18645-2,187,NA
18703-2,139,NA
18718-2,156,NA
18729-2,149,NA
18780-2,185,1283
18799-2,161,34073
18827-2,141,NA
18909-2,158,NA
18935-2,162,NA
18979-2,99,NA
18991-2,101,NA
19039-2,106,NA
19049-2,188,NA
19051-2,140,NA
19058-2,157,NA
19125-2,146,NA
19154-2,126,NA
19158-2,136,NA
19276-2,120,NA
19350-2,182,NA
19388-2,141,NA
19433-2,184,NA
19436-2,150,NA
19443-2,68,1282
19457-2,124,NA
19460-2,124,NA
19479-2,145,NA
19540-2,150,NA
19590-2,153,NA
19595-2,118,NA
19618-2,105,1747
19623-2,180,NA
19637-2,150,NA
19660-2,88,NA
19664-2,164,NA
19677-2,141,NA
19718-2,122,NA
19766-2,155,NA
19793-2,149,NA
19798-2,138,NA
19800-2,111,NA
19808-2,170,NA
19880-2,150,NA
19908-2,152,NA
19999-2,95,NA
20006-2,121,NA
20011-2,157,NA
20082-2,172,NA
20163-2,76,NA
20164-2,116,1270
20173-2,123,NA
20191-2,126,NA
20196-2,147,NA
20201-2,110,NA
20229-2,131,NA
20263-2,93,NA
20291-2,83,NA
20310-2,153,NA
20312-2,110,NA
20336-2,160,NA
20341-2,169,NA
20344-2,78,1292
20349-2,150,NA
20393-2,108,NA
20433-2,164,NA
20470-2,94,NA
20510-2,151,NA
20514-2,158,NA
20524-2,165,NA
20525-2,171,NA
20541-2,168,NA
20550-2,143,24
20566-2,81,NA
20583-2,151,NA
20584-2,136,NA
20598-2,180,NA
20604-2,138,NA
20626-2,141,NA
20691-2,144,NA
20694-2,178,NA
20709-2,131,NA
20723-2,143,NA
20758-2,184,80867
20766-2,151,NA
20767-2,154,NA
20782-2,145,NA
20794-2,84,NA
20798-2,187,NA
20833-2,176,NA
20852-2,171,NA
20866-2,76,NA
20893-2,155,NA
20979-2,144,NA
21049-2,140,484
21057-2,149,NA
21106-2,106,NA
21111-2,65,NA
21115-2,174,NA
21153-2,151,NA
21207-2,152,NA
21211-2,85,NA
21225-2,169,NA
21249-2,137,NA
21276-2,139,NA
21288-2,134,NA
21302-2,60,NA
21315-2,148,NA
21316-2,148,NA
21346-2,179,NA
21363-2,179,44689
21364-2,128,NA
21377-2,121,NA
21418-2,61,NA
21435-2,110,NA
21490-2,143,NA
21539-2,168,NA
21562-2,153,NA
21592-2,157,518
21609-2,159,NA
21611-2,133,NA
21653-2,120,NA
21707-2,151,NA
21729-2,140,NA
21787-2,152,NA
21859-2,149,80869
21871-2,176,NA
21897-2,123,NA
21909-2,177,NA
21916-2,152,NA
21953-2,91,NA
21987-2,114,NA
21990-2,125,NA
22010-2,132,NA
22037-2,111,NA
22063-2,152,NA
22170-2,145,NA
22174-2,101,NA
22240-2,169,NA
22346-2,170,NA
22383-2,75,NA
22398-2,165,NA
22468-2,127,NA
22487-2,110,NA
22500-2,131,NA
22505-2,151,NA
22508-2,69,NA
22513-2,89,NA
22546-2,103,NA
22577-2,145,NA
22593-2,104,NA
22633-2,112,146939
22646-2,154,NA
22669-2,150,NA
22739-2,145,NA
22745-2,132,NA
22748-2,145,NA
22775-2,143,NA
22795-2,98,NA
22807-2,175,NA
22823-2,96,NA
22832-2,137,NA
22865-2,160,NA
22886-2,145,NA
22932-2,167,NA
22978-2,139,NA
22981-2,159,NA
23023-2,131,NA
23024-2,142,NA
23062-2,141,NA
23100-2,153,NA
23141-2,120,NA
23144-2,134,NA
23160-2,109,NA
23186-2,114,NA
23197-2,122,NA
23212-2,73,NA
23230-2,93,NA
23258-2,130,NA
23262-2,104,NA
23276-2,136,NA
23295-2,174,NA
23306-2,135,NA
23322-2,163,NA
23327-2,118,NA
23358-2,151,NA
23427-2,147,NA
23438-2,148,NA
23474-2,91,NA
23477-2,61,NA
23508-2,151,105219
23515-2,80,NA
23588-2,149,NA
23657-2,172,NA
23661-2,138,NA
23662-2,130,NA
23748-2,104,NA
23777-2,93,NA
23791-2,150,1747
23815-2,173,NA
23834-2,122,NA
23836-2,100,NA
23854-2,151,NA
23885-2,168,NA
23911-2,124,NA
23912-2,154,NA
23926-2,113,NA
23976-2,157,NA
23981-2,151,NA
24004-2,184,NA
24015-2,139,NA
24055-2,157,NA
24074-2,180,NA
24076-2,161,NA
24089-2,151,NA
24099-2,80,NA
24110-2,133,NA
24128-2,88,NA
24136-2,148,NA
24143-2,166,NA
24154-2,144,NA
24189-2,142,NA
24190-2,168,NA
24200-2,150,NA
24205-2,146,NA
24233-2,133,1747
24260-2,93,NA
24261-2,175,NA
24293-2,86,NA
24296-2,74,NA
24301-2,67,NA
24303-2,140,NA
24346-2,163,NA
24352-2,182,NA
24409-2,149,NA
24443-2,150,NA
24464-2,107,NA
24497-2,135,NA
24546-2,122,NA
24565-2,157,NA
24585-2,129,NA
24612-2,145,339
24626-2,117,NA
24631-2,149,NA
24638-2,127,NA
24673-2,146,NA
24692-2,140,NA
24721-2,174,NA
24728-2,172,NA
24818-2,180,NA
24820-2,67,NA
24834-2,77,NA
24880-2,114,NA
24897-2,152,NA
24904-2,136,NA
24908-2,86,NA
24929-2,145,NA
24936-2,181,NA
24943-2,184,NA
24978-2,177,NA
24984-2,69,NA
24998-2,146,NA
25025-2,141,38284
25050-2,146,NA
25057-2,126,NA
25060-2,147,NA
25086-2,151,NA
25111-2,148,NA
25141-2,94,NA
25167-2,138,NA
25181-2,134,NA
25208-2,136,NA
25235-2,162,NA
25236-2,138,NA
25289-2,135,NA
25293-2,147,NA
25305-2,153,NA
25328-2,155,NA
25334-2,150,NA
25339-2,157,NA
25372-2,182,NA
25386-2,143,1270
25396-2,144,NA
25402-2,151,NA
25422-2,101,NA
25423-2,168,NA
25431-2,65,NA
25461-2,63,NA
25465-2,142,NA
25469-2,102,NA
25490-2,124,NA
25535-2,144,NA
25541-2,143,358220
25704-2,138,NA
25727-2,151,NA
25779-2,174,NA
25815-2,160,NA
25854-2,148,NA
25916-2,130,NA
25935-2,182,NA
25959-2,140,152480
25965-2,149,NA
25990-2,175,NA
26010-2,125,NA
26019-2,172,NA
26054-2,144,NA
26063-2,152,NA
26087-2,160,87883
26110-2,74,NA
26125-2,138,NA
26199-2,140,NA
26205-2,99,NA
26211-2,100,1747
26369-2,116,NA
26370-2,141,NA
26375-2,144,NA
26397-2,143,NA
26419-2,140,NA
26494-2,146,NA
26497-2,147,NA
26507-2,158,NA
26543-2,141,NA
26557-2,119,NA
26564-2,134,NA
26604-2,177,NA
26607-2,140,NA
26623-2,146,NA
26685-2,172,NA
26728-2,78,NA
26730-2,151,NA
26731-2,149,NA
26741-2,150,NA
26748-2,124,NA
26749-2,65,NA
26777-2,94,NA
26829-2,65,NA
26861-2,148,NA
26864-2,68,NA
26872-2,126,NA
26885-2,89,NA
26914-2,118,NA
26921-2,176,NA
26925-2,141,NA
26927-2,149,NA
26937-2,139,NA
26944-2,176,NA
27126-2,131,NA
27130-2,148,NA
27234-2,98,NA
27239-2,101,NA
27290-2,105,NA
27303-2,154,NA
27314-2,169,NA
27320-2,149,NA
27322-2,179,NA
27332-2,128,NA
27352-2,143,NA
27469-2,142,NA
27474-2,171,NA
27506-2,142,NA
27582-2,170,NA
27584-2,141,NA
27590-2,143,NA
27594-2,183,NA
27597-2,175,NA
27599-2,151,NA
27623-2,72,NA
27625-2,70,NA
27640-2,143,NA
27674-2,155,NA
27704-2,159,NA
27806-2,144,NA
27829-2,162,NA
27892-2,142,NA
27915-2,66,NA
27943-2,97,NA
27954-2,159,114
27955-2,81,NA
27997-2,117,NA
28001-2,170,NA
28029-2,183,NA
28043-2,150,317
28050-2,151,562
28058-2,144,NA
28071-2,156,NA
28095-2,140,NA
28117-2,100,1428
28131-2,149,NA
28134-2,113,NA
28155-2,139,NA
