Object_ID, Length, Assignment
6-10,81,562
22-8,162,NA
26-8,131,NA
28-8,131,NA
37-8,69,NA
39-8,114,294
40-7,75,562
47-7,85,NA
57-7,91,NA
66-7,163,NA
69-7,164,562
70-7,134,NA
72-7,77,NA
75-7,134,NA
79-7,156,1747
88-7,132,NA
90-7,71,NA
95-7,75,562
100-7,98,NA
113-6,93,1270
114-6,94,NA
117-6,165,NA
118-6,154,NA
120-6,131,NA
121-6,159,NA
124-6,121,NA
126-6,63,NA
130-6,87,562
133-6,127,NA
135-6,83,NA
138-6,110,NA
146-6,139,NA
148-6,160,287
161-6,160,820
179-6,101,158080
187-6,84,NA
191-6,162,NA
203-6,82,NA
209-6,128,NA
215-6,138,NA
221-6,107,NA
226-6,101,NA
228-6,98,NA
230-6,130,259537
241-6,155,NA
246-6,129,NA
257-6,121,NA
258-6,123,NA
260-6,106,NA
261-6,137,NA
268-6,60,NA
269-6,69,562
275-6,99,NA
282-5,170,NA
284-5,123,NA
286-5,131,NA
290-5,96,NA
293-5,71,NA
297-5,157,NA
298-5,130,NA
302-5,133,NA
303-5,131,562
305-5,93,NA
310-5,84,NA
313-5,165,NA
320-5,152,NA
334-5,169,NA
340-5,92,298654
350-5,169,562
351-5,79,NA
354-5,136,NA
356-5,115,562
361-5,63,NA
364-5,157,NA
370-5,160,NA
374-5,161,1747
381-5,132,NA
385-5,116,NA
402-5,131,562
408-5,62,NA
416-5,131,NA
417-5,157,NA
424-5,133,NA
429-5,164,1747
434-5,97,NA
435-5,92,562
438-5,103,1747
439-5,148,562
440-5,123,1747
441-5,67,NA
457-5,151,NA
460-5,87,NA
474-5,87,NA
496-5,89,NA
497-5,161,562
498-5,72,NA
501-5,133,562
511-5,158,562
514-5,162,NA
519-5,163,36873
525-5,139,NA
527-5,63,NA
531-5,139,NA
542-5,157,562
544-5,63,NA
570-5,75,NA
572-5,128,NA
574-5,161,562
575-5,162,NA
576-5,87,NA
580-5,60,562
584-5,153,NA
587-5,102,NA
589-5,106,NA
591-5,119,NA
593-5,145,1415630
608-5,129,NA
609-5,75,NA
622-5,161,NA
623-5,150,NA
625-5,156,NA
632-5,162,NA
637-5,170,NA
639-5,156,NA
640-5,161,NA
644-5,81,NA
647-5,128,NA
649-5,150,562
656-5,164,NA
658-5,68,NA
663-5,61,NA
671-5,170,573
672-5,124,NA
676-5,141,NA
682-5,129,NA
686-5,71,NA
687-5,150,NA
688-5,95,NA
690-5,133,539
692-5,102,NA
695-5,148,294
702-5,129,NA
709-5,162,NA
718-5,114,NA
721-5,155,NA
724-5,111,1747
726-5,81,NA
728-5,164,562
729-5,151,NA
731-5,136,562
732-5,129,NA
735-5,134,NA
738-5,128,NA
757-5,161,1747
761-5,128,NA
766-5,79,NA
768-5,131,NA
771-5,109,NA
775-5,138,NA
781-5,116,NA
787-5,153,NA
792-5,123,NA
793-5,161,NA
805-5,130,NA
807-5,93,NA
813-5,127,NA
