Object_ID, Length, Assignment
814-5,132,NA
815-5,168,NA
816-5,81,NA
822-5,170,1747
824-5,153,NA
827-5,134,NA
829-5,83,NA
838-5,163,NA
845-5,131,NA
849-5,117,NA
850-5,132,NA
851-5,131,NA
856-5,60,NA
858-5,111,NA
860-5,99,NA
862-5,170,NA
864-5,153,470
866-5,78,NA
870-5,146,484
878-5,162,NA
892-4,135,NA
893-4,139,NA
894-4,147,NA
896-4,130,NA
899-4,161,562
903-4,136,NA
908-4,137,NA
911-4,135,NA
915-4,155,NA
916-4,132,1747
918-4,125,NA
919-4,137,NA
921-4,140,NA
928-4,106,NA
932-4,71,NA
936-4,145,NA
937-4,154,NA
942-4,72,NA
945-4,136,NA
947-4,162,NA
949-4,170,562
955-4,131,562
956-4,83,NA
957-4,132,NA
964-4,126,NA
968-4,160,NA
976-4,81,NA
978-4,135,NA
979-4,159,NA
988-4,126,NA
990-4,164,NA
993-4,95,NA
997-4,165,562
998-4,90,NA
1000-4,155,NA
1009-4,78,NA
1020-4,90,NA
1025-4,155,NA
1028-4,141,NA
1029-4,132,NA
1030-4,141,562
1033-4,88,1747
1039-4,162,NA
1040-4,139,NA
1047-4,127,NA
1052-4,92,1747
1058-4,158,NA
1059-4,65,NA
1064-4,158,NA
1066-4,161,NA
1069-4,167,NA
1079-4,166,NA
1080-4,136,NA
1087-4,136,NA
1092-4,131,29385
1097-4,152,NA
1102-4,164,NA
1118-4,95,NA
1120-4,159,NA
1122-4,140,NA
1123-4,158,NA
1124-4,169,287
1126-4,148,562
1129-4,141,NA
1138-4,98,562
1139-4,165,NA
1142-4,148,NA
1143-4,130,NA
1144-4,164,NA
1153-4,162,NA
1163-4,134,NA
1165-4,135,NA
1168-4,142,NA
1175-4,158,NA
1177-4,126,NA
1183-4,138,NA
1184-4,153,NA
1187-4,128,NA
1189-4,142,339
1190-4,134,NA
1192-4,160,NA
1196-4,156,NA
1197-4,144,NA
1198-4,138,NA
1206-4,112,NA
1216-4,164,NA
1219-4,131,1747
1223-4,102,NA
1227-4,78,NA
1231-4,79,NA
1234-4,163,NA
1245-4,95,NA
1246-4,133,NA
1247-4,133,NA
1250-4,144,NA
1255-4,101,562
1268-4,157,NA
1272-4,64,NA
1277-4,76,NA
1280-4,160,NA
1284-4,130,NA
1288-4,61,NA
1299-4,129,NA
1328-4,126,NA
1342-4,106,562
1344-4,163,NA
1349-4,61,562
1356-4,133,NA
1357-4,73,NA
1362-4,120,NA
1364-4,170,1747
1371-4,165,NA
1373-4,133,NA
1375-4,151,NA
1379-4,126,NA
1381-4,108,NA
1382-4,156,NA
1385-4,165,NA
1389-4,133,NA
1404-4,139,NA
1410-4,158,NA
1414-4,161,NA
1416-4,169,NA
1418-4,81,NA
1421-4,128,NA
1443-4,134,NA
1449-4,131,NA
1453-4,136,NA
1467-4,170,NA
1468-4,126,NA
1469-4,135,NA
1471-4,90,NA
1472-4,132,NA
1478-4,152,NA
1479-4,130,NA
1483-4,159,964
1485-4,130,NA
1488-4,135,NA
1490-4,167,562
1493-4,142,NA
1494-4,138,NA
1495-4,162,930166
1496-4,155,NA
1499-4,163,NA
1500-4,160,NA
1501-4,124,NA
1505-4,132,NA
1508-4,137,NA
1512-4,83,NA
1514-4,164,NA
1516-4,129,NA
1517-4,128,NA
1518-4,163,NA
1521-4,90,NA
1522-4,94,NA
1524-4,130,NA
1528-4,136,NA
1540-4,121,NA
1546-4,163,1076
1547-4,72,NA
1549-4,130,NA
1551-4,127,NA
1553-4,166,28449
1555-4,134,29385
1565-4,138,NA
1574-4,155,NA
1575-4,139,NA
1582-4,77,NA
1583-4,139,NA
1589-4,164,562
1593-4,170,562
1600-4,160,NA
1601-4,130,NA
1606-4,161,1270
1613-4,164,NA
1614-4,101,NA
1615-4,127,NA
1616-4,129,NA
1620-4,89,NA
1621-4,133,NA
1623-4,145,NA
1631-4,142,562
1637-4,128,NA
1640-4,132,NA
1641-4,126,NA
1647-4,161,NA
1650-4,136,NA
1654-4,158,NA
1657-4,105,NA
1659-4,130,NA
1660-4,161,NA
1667-4,152,NA
1676-4,161,NA
1679-4,128,1747
1682-4,159,NA
1685-4,102,NA
1686-4,127,NA
1693-4,138,1747
1694-4,129,NA
1699-4,130,NA
1707-4,80,NA
1709-4,130,NA
1715-4,130,NA
1717-4,161,NA
1718-4,133,NA
1719-4,133,NA
1725-4,106,NA
1735-4,164,NA
1739-4,146,NA
1747-4,88,NA
1749-4,76,NA
1751-4,129,NA
1754-4,161,NA
1759-4,156,NA
1760-4,130,NA
1778-4,99,NA
1787-4,156,NA
1789-4,120,NA
1792-4,105,NA
1811-4,81,NA
1818-4,149,NA
1821-4,133,NA
1826-4,77,562
1829-4,128,NA
1830-4,125,NA
1834-4,91,200451
1836-4,143,562
1842-4,145,1415630
1845-4,138,NA
1849-4,77,NA
1852-4,105,NA
1854-4,139,34029
1858-4,156,NA
1860-4,143,NA
1861-4,78,NA
1864-4,135,NA
1870-4,138,NA
1880-4,149,NA
1881-4,130,NA
1882-4,132,NA
1883-4,132,NA
1885-4,60,NA
1888-4,76,NA
1889-4,134,NA
1896-4,157,NA
1897-4,122,NA
1902-4,64,NA
1903-4,133,NA
1905-4,101,NA
1907-4,137,NA
1915-4,148,NA
1918-4,141,562
1921-4,149,NA
1934-4,155,NA
1941-4,128,NA
1959-4,61,NA
1964-4,124,NA
1969-4,126,NA
1971-4,132,562
1975-4,145,NA
1978-4,92,303
1979-4,123,NA
1994-4,72,562
2003-4,72,NA
2013-4,82,NA
2019-4,118,NA
2026-4,133,NA
2034-4,131,NA
2035-4,134,NA
2037-4,93,NA
2038-4,162,NA
2041-4,125,NA
2042-4,133,NA
2044-4,160,NA
2046-4,124,NA
2050-4,129,NA
2058-4,133,NA
2062-4,146,NA
2077-4,130,NA
2085-4,77,NA
2086-4,154,NA
2091-4,94,NA
2092-4,135,NA
2101-4,161,NA
2104-4,132,NA
2108-4,155,NA
2109-4,71,1747
2118-4,84,623
2121-4,138,NA
2124-4,136,NA
2128-4,164,NA
2135-4,131,NA
2136-4,152,303
2137-4,96,NA
2145-4,131,NA
2146-4,135,NA
2152-4,136,562
2159-4,130,NA
2163-4,63,562
2166-4,155,NA
2167-4,139,NA
2171-4,93,NA
2174-4,114,NA
2180-4,129,NA
2182-4,116,NA
2183-4,105,NA
2186-4,167,NA
2188-4,90,NA
2189-4,154,NA
2191-4,81,NA
2193-4,97,29385
2197-4,133,NA
2204-4,162,NA
2211-4,161,NA
2215-4,147,NA
2216-4,69,NA
2228-4,131,NA
2232-4,75,NA
2237-4,122,NA
2245-4,153,NA
2249-4,126,NA
2254-4,133,NA
2257-4,159,NA
2258-4,133,NA
2262-4,95,NA
2266-4,115,NA
2268-4,136,NA
2275-4,134,NA
2287-4,131,NA
2290-4,132,NA
2293-4,62,NA
2301-4,85,NA
2305-4,67,NA
2315-4,166,NA
2319-4,170,NA
2327-4,164,NA
2334-4,107,562
2343-4,127,NA
2363-4,131,NA
2384-4,123,NA
2396-4,133,NA
2398-4,134,NA
2404-4,113,NA
2414-4,139,1747
2419-4,66,NA
2422-4,157,NA
2425-4,128,1280
2433-4,109,NA
2441-4,72,NA
2443-4,143,1260
2449-4,80,NA
2451-4,95,NA
2455-4,123,NA
2458-4,135,NA
2459-4,97,NA
2460-4,152,NA
2464-4,62,562
2466-4,61,NA
2471-4,156,NA
2472-4,133,NA
2473-4,162,NA
2476-4,136,NA
2477-4,73,NA
2481-4,125,NA
2482-4,114,NA
2485-4,67,NA
2491-4,120,NA
2495-4,129,NA
2496-4,164,NA
2498-4,129,562
2499-4,129,NA
2501-4,158,NA
2503-4,105,NA
2511-4,144,NA
2515-4,141,NA
2518-4,96,NA
2519-4,111,NA
2523-4,129,NA
2524-4,169,562
2531-4,159,NA
2533-4,133,NA
2534-4,145,NA
2541-4,137,NA
2557-4,105,562
2575-4,79,NA
2582-4,123,NA
2586-4,167,562
2592-4,159,NA
2597-4,139,NA
2601-4,89,NA
2610-4,130,NA
2612-4,134,NA
2613-4,95,NA
2617-4,83,NA
2624-4,161,NA
2627-4,133,NA
2634-4,133,NA
2660-4,157,NA
2663-4,149,NA
2664-4,130,NA
2669-4,162,1639
2671-4,161,NA
2675-4,155,NA
2681-4,80,NA
2687-4,114,NA
2688-4,156,NA
2689-4,168,NA
2697-4,165,NA
2698-4,109,NA
2699-4,130,NA
2702-4,143,NA
2706-4,126,NA
2707-4,162,NA
2710-4,120,NA
2719-4,132,NA
2720-4,154,NA
2724-4,161,NA
2726-4,132,NA
2729-4,79,NA
2742-4,136,NA
2745-4,160,562
2749-4,71,NA
2750-4,162,NA
2755-4,162,NA
2757-4,144,NA
2760-4,170,NA
2761-4,91,NA
2762-4,129,NA
2764-4,140,NA
2771-4,156,NA
2772-4,160,NA
2774-4,91,NA
2780-4,72,NA
2785-4,75,NA
2786-4,78,NA
2790-4,128,NA
2791-4,135,NA
2792-4,137,NA
2796-4,81,NA
2813-4,142,NA
2815-4,157,562
2819-4,133,562
2821-4,70,NA
2827-4,130,NA
2835-4,131,NA
2836-4,101,NA
2852-4,136,NA
2856-4,137,NA
2862-4,165,NA
2864-4,79,NA
2876-4,86,NA
2877-4,91,57975
2878-4,62,NA
2880-4,80,NA
2882-4,115,1747
2886-4,76,NA
2888-4,117,NA
2890-4,74,NA
2891-4,86,NA
2894-4,141,NA
2898-4,126,562
2900-4,77,NA
2909-4,163,NA
2911-4,119,NA
2916-4,89,NA
2932-4,134,NA
2933-4,131,NA
2934-4,151,40324
2937-4,161,NA
2940-4,77,NA
2951-4,113,NA
2956-4,66,NA
2963-4,157,NA
2965-4,150,NA
2968-4,117,NA
2974-4,135,1747
2979-4,132,NA
2991-4,164,NA
2998-4,161,NA
3007-4,134,NA
3008-4,65,562
3014-4,128,NA
3020-4,79,562
3024-4,135,NA
3032-4,153,562
3034-4,134,NA
3038-4,143,562
3046-4,68,NA
3047-4,153,NA
3048-4,81,NA
3049-4,82,NA
3053-4,133,NA
3055-4,143,NA
3062-4,157,NA
3064-4,122,NA
3078-4,165,NA
3083-4,158,NA
3084-4,135,NA
3087-4,132,NA
3098-4,95,NA
3106-4,158,NA
3109-4,133,NA
3110-4,128,NA
3111-4,130,NA
3119-4,131,NA
3120-4,160,1747
3125-3,152,NA
3129-3,136,NA
3142-3,170,NA
3147-3,133,NA
3158-3,125,NA
3166-3,130,NA
3170-3,160,562
3179-3,132,516466
3182-3,126,NA
3187-3,131,NA
3188-3,127,NA
3192-3,115,158080
3196-3,103,NA
3197-3,132,NA
3200-3,135,NA
3201-3,131,NA
3202-3,140,NA
3211-3,134,NA
3223-3,126,NA
3224-3,126,NA
3228-3,124,NA
3234-3,75,NA
3246-3,155,NA
3262-3,127,NA
3264-3,131,339
3267-3,134,NA
3270-3,157,NA
3296-3,154,225324
3303-3,124,NA
3304-3,131,NA
3307-3,166,1747
3311-3,120,NA
3315-3,130,NA
3316-3,137,NA
3317-3,148,NA
3318-3,130,NA
3321-3,132,NA
3324-3,168,NA
3326-3,160,NA
3327-3,101,NA
3335-3,63,NA
3339-3,133,NA
3341-3,89,NA
3343-3,96,NA
3345-3,163,562
3352-3,127,NA
3357-3,75,NA
3361-3,159,NA
3370-3,131,1717
3372-3,144,NA
3373-3,131,NA
3375-3,139,NA
3379-3,121,562
3384-3,86,562
3391-3,150,1747
3393-3,141,NA
3395-3,124,NA
3399-3,169,158080
3401-3,69,NA
3402-3,170,NA
3410-3,154,NA
3413-3,141,NA
3414-3,129,627192
3415-3,67,NA
3418-3,136,562
3420-3,170,NA
3423-3,139,NA
3426-3,131,NA
3439-3,86,NA
3443-3,127,NA
3445-3,131,NA
3448-3,129,NA
3452-3,141,NA
3456-3,159,NA
3464-3,62,NA
3466-3,67,NA
3479-3,132,NA
3484-3,81,NA
3485-3,170,NA
3486-3,164,1290
3487-3,164,NA
3492-3,78,NA
3493-3,124,NA
3494-3,161,NA
3500-3,151,NA
3501-3,88,NA
3505-3,138,562
3515-3,156,NA
3518-3,137,NA
3521-3,125,NA
3526-3,127,NA
3530-3,68,NA
3535-3,114,NA
3536-3,130,NA
3538-3,135,NA
3552-3,163,NA
3553-3,160,NA
3557-3,160,562
3561-3,73,1747
3574-3,85,NA
3575-3,111,NA
3577-3,65,NA
3579-3,105,NA
3584-3,123,1747
3587-3,162,562
3588-3,133,NA
3604-3,136,NA
3614-3,130,NA
3617-3,79,NA
3624-3,134,NA
3625-3,82,NA
3631-3,136,NA
3639-3,128,NA
3643-3,165,NA
3653-3,125,NA
3659-3,110,NA
3669-3,80,NA
3671-3,119,119219
3675-3,155,1747
3678-3,65,NA
3679-3,124,NA
3680-3,70,562
3681-3,82,NA
3685-3,151,NA
3691-3,90,NA
3698-3,145,NA
3707-3,151,NA
3711-3,103,NA
3712-3,124,NA
3720-3,137,NA
3722-3,146,NA
3730-3,124,29385
3731-3,164,1747
3732-3,142,NA
3733-3,168,NA
3737-3,68,NA
3738-3,151,NA
3740-3,134,NA
3744-3,92,NA
3747-3,142,NA
3748-3,127,NA
3750-3,84,NA
3752-3,158,NA
3756-3,126,NA
3759-3,88,NA
3761-3,61,NA
3764-3,127,NA
3771-3,133,NA
3777-3,128,NA
3778-3,143,NA
3786-3,167,NA
3788-3,159,NA
3794-3,130,NA
3806-3,127,NA
3807-3,156,NA
3813-3,159,NA
3836-3,160,101571
3837-3,160,1747
3844-3,170,562
3847-3,91,NA
3849-3,146,NA
3850-3,72,NA
3853-3,130,NA
3855-3,140,NA
3858-3,69,NA
3872-3,125,NA
3891-3,158,NA
3898-3,126,1282
3912-3,131,NA
3913-3,132,NA
3925-3,133,NA
3927-3,91,562
3930-3,73,NA
3931-3,163,NA
3938-3,74,562
3943-3,155,NA
3944-3,125,NA
3953-3,138,NA
3955-3,123,NA
3959-3,65,NA
3961-3,150,627192
3966-3,65,NA
3969-3,90,NA
3971-3,160,NA
3975-3,163,NA
3978-3,118,34029
3980-3,141,1747
3983-3,158,NA
3987-3,170,NA
3993-3,164,NA
3998-3,116,NA
4006-3,142,NA
4023-3,65,28901
4030-3,129,NA
4032-3,93,NA
4035-3,128,NA
4038-3,134,NA
4039-3,65,NA
4041-3,130,1747
4042-3,133,NA
4047-3,76,NA
4049-3,74,28901
4050-3,89,200451
4058-3,133,NA
4064-3,166,NA
4078-3,139,NA
4081-3,157,NA
4083-3,65,NA
4085-3,168,NA
4086-3,130,NA
4098-3,100,NA
4099-3,125,NA
4101-3,160,NA
4104-3,142,NA
4105-3,78,NA
4108-3,134,38304
4110-3,130,NA
4115-3,125,742013
4116-3,132,NA
4118-3,116,NA
4121-3,92,623
4138-3,134,NA
4143-3,142,NA
4145-3,63,NA
4149-3,131,562
4150-3,170,NA
4155-3,104,NA
4159-3,170,NA
4163-3,166,NA
4164-3,154,NA
4174-3,136,NA
4176-3,88,NA
4177-3,155,NA
4178-3,156,NA
4182-3,128,NA
4184-3,141,NA
4188-3,122,NA
4190-3,131,28090
4191-3,112,NA
4198-3,140,NA
4202-3,125,NA
4207-3,139,NA
4213-3,124,NA
4218-3,84,NA
4220-3,150,NA
4224-3,131,NA
4226-3,155,NA
4230-3,163,562
4235-3,62,NA
4236-3,133,NA
4244-3,161,NA
4248-3,170,NA
4253-3,135,NA
4254-3,134,NA
4282-3,170,294
4283-3,123,NA
4284-3,96,NA
4286-3,92,NA
4287-3,136,NA
4288-3,140,NA
4308-3,170,160791
4316-3,133,NA
4318-3,157,NA
4321-3,63,NA
4323-3,66,NA
4326-3,153,562
4328-3,131,NA
4335-3,170,NA
4336-3,100,1282
4338-3,146,NA
4342-3,132,NA
4356-3,162,NA
4360-3,61,NA
4364-3,139,NA
4374-3,145,NA
4385-3,72,NA
4389-3,128,NA
4398-3,84,NA
4400-3,100,NA
4401-3,152,NA
4417-3,130,105560
4420-3,76,NA
4428-3,134,NA
4435-3,134,NA
4437-3,164,562
4441-3,127,NA
4443-3,128,NA
4446-3,125,NA
4448-3,131,NA
4450-3,157,NA
4463-3,163,NA
4467-3,127,NA
4480-3,74,NA
4484-3,158,NA
4490-3,158,NA
4494-3,82,562
4496-3,156,287
4501-3,133,NA
4505-3,170,NA
4509-3,151,881
4513-3,134,NA
4519-3,129,1747
4525-3,148,NA
4533-3,93,NA
4534-3,150,NA
4543-3,135,NA
4548-3,156,NA
4551-3,129,NA
4556-3,126,NA
4557-3,154,NA
4563-3,129,NA
4571-3,62,562
4583-3,101,NA
4588-3,125,1415630
4597-3,155,NA
4598-3,132,NA
4603-3,76,NA
4604-3,64,NA
4617-3,67,NA
4624-3,132,NA
4625-3,121,NA
4629-3,130,NA
4635-3,122,NA
4637-3,134,562
4638-3,134,NA
4641-3,170,NA
4647-3,159,NA
4651-3,170,NA
4652-3,156,NA
4670-3,133,NA
4671-3,133,NA
4674-3,163,NA
4678-3,137,NA
4680-3,117,562
4692-3,136,375
4694-3,129,NA
4697-3,138,NA
4699-3,168,NA
4708-3,126,1747
4719-3,163,562
4722-3,129,NA
4736-3,131,NA
4741-3,138,NA
4752-3,158,NA
4753-3,160,NA
4755-3,114,562
4759-3,77,NA
4760-3,159,1747
4769-3,61,NA
4770-3,166,NA
4784-3,135,NA
4786-3,124,NA
4790-3,98,NA
4805-3,138,87883
4806-3,155,NA
4807-3,129,NA
4816-3,74,NA
4818-3,126,NA
4824-3,96,NA
4825-3,116,1747
4827-3,144,NA
4829-3,136,NA
4831-3,130,NA
4837-3,125,NA
4838-3,154,NA
4840-3,90,NA
4843-3,123,NA
4845-3,164,NA
4849-3,158,562
4852-3,170,225324
4856-3,158,NA
4861-3,158,NA
4866-3,129,NA
4869-3,143,NA
4870-3,161,NA
4874-3,126,NA
4876-3,117,NA
4878-3,88,1496
4887-3,134,NA
4889-3,155,NA
4891-3,130,NA
4893-3,161,NA
4894-3,84,NA
4895-3,135,NA
4903-3,64,NA
4918-3,121,NA
4931-3,71,NA
4938-3,154,NA
4944-3,145,NA
4953-3,77,NA
4954-3,166,1747
4956-3,141,NA
4963-3,162,NA
4968-3,133,NA
4971-3,146,NA
4972-3,127,NA
4975-3,155,28132
4979-3,136,1747
4980-3,163,NA
4981-3,128,NA
4985-3,132,NA
4990-3,134,NA
4991-3,75,NA
4992-3,158,NA
5005-3,106,562
5006-3,161,459845
5010-3,106,NA
5017-3,79,562
5018-3,157,NA
5019-3,143,NA
5020-3,164,NA
5036-3,125,NA
5045-3,162,NA
5056-3,130,NA
5062-3,129,NA
5073-3,135,NA
5076-3,138,NA
5085-3,138,NA
5086-3,165,562
5087-3,62,NA
5093-3,132,NA
5099-3,138,NA
5105-3,133,NA
5110-3,153,562
5115-3,161,NA
5116-3,160,NA
5122-3,113,NA
5126-3,152,NA
5133-3,126,NA
5134-3,151,NA
5141-3,139,NA
5142-3,145,NA
5146-3,133,NA
5149-3,137,NA
5152-3,132,501479
5155-3,134,354
5161-3,137,NA
5163-3,134,NA
5164-3,133,1747
5166-3,140,NA
5168-3,134,NA
5177-3,128,NA
5180-3,170,NA
5189-3,113,NA
5194-3,72,1747
5197-3,143,NA
5210-3,90,NA
5211-3,124,NA
5221-3,84,1772
5224-3,157,NA
5225-3,141,NA
5233-3,67,NA
5235-3,72,NA
5240-3,129,NA
5246-3,90,NA
5253-3,154,1747
5255-3,131,NA
5257-3,117,NA
5259-3,150,NA
5268-3,145,NA
5269-3,129,NA
5270-3,113,NA
5271-3,158,NA
5273-3,159,562
5277-3,136,NA
5283-3,160,29385
5287-3,85,NA
5308-3,61,NA
5316-3,162,562
5323-3,95,NA
5335-3,103,NA
5337-3,63,NA
5343-3,131,NA
5344-3,131,NA
5346-3,155,NA
5349-3,123,NA
5352-3,128,NA
5353-3,132,NA
5360-3,121,NA
5371-3,118,NA
5374-3,146,NA
5384-3,80,NA
5388-3,155,1747
5389-3,170,NA
5393-3,170,80867
5395-3,153,NA
5399-3,102,NA
5400-3,96,NA
5401-3,135,NA
5416-3,127,NA
5419-3,134,114
5421-3,127,562
5424-3,159,NA
5430-3,158,NA
5433-3,143,562
5437-3,159,NA
5439-3,134,NA
5444-3,139,NA
5450-3,154,28450
5463-3,159,562
5465-3,139,NA
5467-3,134,NA
5469-3,161,NA
5471-3,82,NA
5472-3,162,NA
5474-3,132,562
5476-3,132,NA
5480-3,130,NA
5482-3,164,NA
5495-3,111,NA
5497-3,165,NA
5502-3,166,NA
5503-3,95,NA
5515-3,122,NA
5518-3,105,NA
5521-3,67,NA
5522-3,158,NA
5524-3,132,NA
5525-3,131,NA
5530-3,88,NA
5532-3,68,1747
5534-3,140,NA
5538-3,61,562
5542-3,126,NA
5547-3,132,NA
5548-3,132,NA
5551-3,159,NA
5552-3,134,NA
5553-3,82,NA
5557-3,147,NA
5558-3,139,NA
5559-3,148,NA
5566-3,140,1747
5568-3,160,1747
5575-3,140,NA
5580-3,136,62322
5584-3,143,NA
5587-3,135,562
5588-3,79,NA
5597-3,160,NA
5598-3,151,NA
5600-3,98,NA
5603-3,157,28132
5606-3,71,NA
5626-3,130,NA
5638-3,138,NA
5639-3,131,NA
5641-3,157,NA
5653-3,126,NA
5654-3,131,28037
5663-3,132,NA
5665-3,135,NA
5666-3,133,NA
5679-3,148,562
5684-3,131,28450
5689-3,130,NA
5693-3,124,NA
5695-3,142,NA
5699-3,130,NA
5701-3,159,NA
5702-3,153,NA
5710-3,160,NA
5717-3,117,285
5722-3,160,NA
5725-3,67,NA
5728-3,168,NA
5731-3,103,NA
5734-3,164,NA
5736-3,132,NA
5740-3,131,NA
5749-3,128,NA
5750-3,150,NA
5752-3,138,NA
5756-3,154,NA
5757-3,90,NA
5759-3,119,NA
5774-3,129,NA
5777-3,133,155892
5787-3,104,NA
5788-3,62,1747
5790-3,108,NA
5796-3,128,NA
5797-3,160,NA
5801-3,170,NA
5804-3,137,NA
5806-3,125,NA
5813-3,168,NA
5815-3,141,NA
5816-3,152,28901
5819-3,132,NA
5825-3,156,NA
5830-3,96,511062
5839-3,160,NA
5841-3,159,NA
5842-3,170,NA
5852-3,129,NA
5854-3,127,384
5861-3,110,NA
5863-3,163,114615
5865-3,136,NA
5869-3,151,NA
5870-3,73,NA
5873-3,144,NA
5874-3,149,200451
5879-3,84,NA
5880-3,135,NA
5893-3,163,NA
5895-3,71,NA
5901-3,168,NA
5912-3,157,562
5919-3,126,NA
5923-3,160,NA
5924-3,83,NA
5927-3,161,NA
5935-3,139,NA
5936-3,163,1765
5940-3,63,NA
5944-3,91,NA
5948-3,163,NA
5951-3,130,1747
5953-3,128,NA
5954-3,169,NA
5959-3,84,NA
5960-3,154,NA
5964-3,159,NA
5968-3,164,1270
5969-3,145,1747
5975-3,66,1747
5976-3,153,NA
5980-3,169,NA
5981-3,76,NA
5984-3,75,NA
5988-3,151,NA
5991-3,130,NA
5993-3,92,NA
5998-3,135,NA
5999-3,134,NA
6000-3,134,NA
6001-3,129,NA
6002-3,127,NA
6005-3,132,NA
6007-3,162,158080
6009-3,132,NA
6014-3,153,NA
6018-3,83,NA
6022-3,134,NA
6033-3,129,NA
6034-3,159,NA
6043-3,125,NA
6045-3,157,NA
6050-3,129,329
6052-3,135,NA
6060-3,161,NA
6063-3,160,NA
6070-3,96,1747
6071-3,158,NA
6073-3,83,NA
6074-3,95,NA
6075-3,132,NA
6077-3,62,1747
6078-3,162,562
6082-3,132,NA
6083-3,170,562
6084-3,129,NA
6102-3,131,NA
6109-3,75,NA
6110-3,159,119219
6111-3,127,NA
6114-3,163,NA
6116-3,170,NA
6119-3,148,NA
6120-3,67,NA
6134-3,82,NA
6135-3,163,NA
6136-3,127,NA
6138-3,158,NA
6142-3,163,NA
6149-3,150,NA
6150-3,109,NA
6159-3,67,562
6162-3,161,29388
6168-3,161,NA
6173-3,90,NA
6180-3,120,NA
6182-3,120,562
6183-3,133,NA
6185-3,131,NA
6191-3,66,1747
6194-3,106,NA
6197-3,129,NA
6203-3,163,NA
6208-3,156,NA
6213-3,63,NA
6217-3,157,NA
6222-3,137,292
6231-3,168,NA
6235-3,76,NA
6236-3,151,NA
6237-3,165,NA
6239-3,135,NA
6240-3,137,28449
6243-3,143,562
6244-3,131,NA
6246-3,141,NA
6249-3,82,NA
6254-3,128,NA
6255-3,127,NA
6261-3,149,NA
6268-3,76,NA
6274-3,156,NA
6278-3,157,NA
6282-3,158,NA
6294-3,132,NA
6296-3,128,NA
6299-3,72,NA
6303-3,149,NA
6307-3,135,NA
6310-3,130,NA
6312-3,126,NA
6315-3,129,NA
6321-3,140,NA
6323-3,144,NA
6333-3,164,NA
6336-3,145,NA
6337-3,133,1747
6338-3,131,NA
6340-3,129,NA
6350-3,127,NA
6353-3,164,NA
6354-3,63,NA
6359-3,125,NA
6364-3,167,562
6367-3,125,NA
6369-3,150,NA
6370-3,130,NA
6373-3,170,562
6380-3,111,562
6384-3,129,NA
6386-3,160,NA
